"X.ACT","CATEGORY","Rasch.Andrich.threshold.MEASURE"
1,0,0
1,1,-1.64
1,2,1.64
2,0,0
2,1,-0.3
2,2,0.3
3,0,0
3,1,-1.13
3,2,1.13
4,0,0
4,1,-1.31
4,2,1.31
5,0,0
5,1,-0.54
5,2,0.54
6,0,0
6,1,-1.09
6,2,1.09
7,0,0
7,1,-0.84
7,2,0.84
8,0,0
8,1,-1.11
8,2,1.11
9,0,0
9,1,-0.62
9,2,0.62
10,0,0
10,1,-0.82
10,2,0.82
11,0,0
11,1,-1.36
11,2,1.36
12,1,0
12,2,0
13,0,0
13,1,0.43
13,2,-0.43
14,0,0
14,1,-1.01
14,2,1.01
15,0,0
15,1,-0.77
15,2,0.77
16,0,0
16,1,-1.28
16,2,1.28
17,0,0
17,1,-0.89
17,2,0.89
18,0,0
18,1,0.61
18,2,-0.61
19,0,0
19,1,-0.27
19,2,0.27
20,0,0
20,1,-0.91
20,2,0.91
21,0,0
21,1,-0.49
21,2,0.49
22,0,0
22,1,-0.78
22,2,0.78
23,0,0
23,1,-0.48
23,2,0.48
24,0,0
24,1,-0.51
24,2,0.51
25,0,0
25,1,-0.81
25,2,0.81
